#hashtags;application-site
Bet Your Followers;application-site
bet365;application-site
Betaproxy;application-site
BetHype;application-site
BetterEncoding;application-site
Betternet;application-site
Betternet-web;application-site
Beyluxe Messenger;application-site
Beyond TV Link;application-site
Bezeq Cloud;application-site
BFCP;application-site
BFD Protocol;application-site
BFD-Multihop;service-udp
BFD-Single_hop;service-udp
BGP;service-tcp
BGP Protocol;application-site
Bharat Student.com;application-site
biff;service-udp
Big Bang and Fuzz;application-site
Big Brother Professional Edition - BBPE;application-site
BigAnt Messenger;application-site
BigFilebox;application-site
Bigsearch;application-site
BigTent;application-site
bigupload;application-site
Biip;application-site
Biker Passions;application-site
bikerbook;application-site
BikerOrNot;application-site
bikersfunhouse;application-site
Bimbot.Spider;application-site
BIME;application-site
BIME-upload;application-site
Binary Order Entry Protocol(BOE);application-site
Binfire;application-site
Bing;application-site
Bing Bar;application-site
Bing cache;application-site
Bing Maps;application-site
Bingo Sidekick;application-site
Bionet-Setup;service-tcp
Bisexual Passions;application-site
Bit Che;application-site
Bit-Hdtv.com;application-site
Bit-torrents.6x.to;application-site
Bit9 Security Platform;application-site
Bitbucket;application-site
Bitbucket-download;application-site
Bitbucket-upload;application-site
Bitcasa;application-site
Bitcoin;application-site
BitComet;application-site
Bitdefender;application-site
BitDefender Safebox;application-site
BitDefender Safebox-download;application-site
BitDefender Safebox-sharing;application-site
BitDefender Safebox-sync;application-site
Bitenova;application-site
BitFlu;application-site
Bitgamer.com;application-site
Bithq.org;application-site
bithub;application-site
Bitium;application-site
BitLet;application-site
BitLord;application-site
Bitly;application-site
bitlybot.spider;application-site
Bitme.org;application-site
BitmeTv.org;application-site
BitPump;application-site
Bitrix24-download;application-site
Bitrix24-upload;application-site
Bits on Wheels;application-site
Bitseduce.com;application-site
BitShare;application-site
Bitshock.org;application-site
Bitsoup.org;application-site
BitSpirit;application-site
Bitspyder.net;application-site
Bitstrips;application-site
Bittorent.biz;application-site
BitTornado;application-site
BitTorrent Bleep;application-site
BitTorrent Live;application-site
BitTorrent Now;application-site
BitTorrent Protocol;application-site
BitTorrent Sync;application-site
BitTyrant;application-site
Bitvaulttorrent.com;application-site
BitWine;application-site
BitZip;application-site
BiWord;application-site
Bizhard;application-site
Bizhard-file transfer;application-site
Bizhard-web-download;application-site
Bizhard-web-upload;application-site
BizMerlinHR;application-site
biznik;application-site
bjstuff;application-site
Blackberry Backup File;CpmiPatternDataType
BlackBerry Enterprise Server;application-site
BlackBerry Instant Messaging;application-site
Blackboard;application-site
blackbusiness;application-site
BlackCoin;application-site
BlackPlanet;application-site
Blackspider;application-site
blahgirls;application-site
Blekko;application-site
Blern Spider;application-site
Bliin;application-site
blink;application-site
blinkBox;application-site
blinklist;application-site
Blinksale;application-site
BlinkX;application-site
Blip.tv;application-site
Blip.tv-video;application-site
blipfoto;application-site
BlitzBOT;application-site
BLNK;application-site
Blocked Message - Access Control;DropUserCheckInteractionScheme
Blocked Message - Data Loss Prevention;CpmiDlpUserCheckInteractionScheme
Blockhunter;application-site
Blog Flux;application-site
Blog Navigator;application-site
Blog Torrent;application-site
BlogAssist;application-site
Blogbot;application-site
BlogBridge;application-site
Blogger;application-site
Blogger-blog posting;application-site
Blogger-upload;application-site
bloggerblog;application-site
Bloglines;application-site
Blogmarks;application-site
Blogr;application-site
Blogs / Personal Pages;application-site-category
Blogtronix;application-site
blogTV;application-site
BloobyBot;application-site
Bloomberg;application-site
Bloomberg professional;application-site
Bloomberg-Businessweek;application-site
Bloomberg-TV;application-site
Blubberlutsch;application-site
Blubster;service-udp
Blue;application-site
Blue Crab;application-site
BlueDragon;application-site
BlueJeans;application-site
BlueJeans-download;application-site
Bluejeans-upload;application-site
bluemerang;application-site
Bluetracker;application-site
BlueTrain;application-site
Bmtorrents.net;application-site
boardpassions;application-site
Boating Passions;application-site
BOINC;application-site
Bojam;application-site
Bold360;application-site
Bolivia Classification Terms;CpmiWordsDataType
Bolt;application-site
BoltFile;application-site
BomberClone;application-site
Bomgar;application-site
BONdisk;application-site
bonpoo;application-site
Bonusly;application-site
Book Sale Finder;application-site
BookCrossing;application-site
Bookdog;application-site
Booker25;application-site
Booking.com;application-site
Bookins;application-site
Bookmark Base;application-site
BookMooch;application-site
BookSaleFinder;application-site
BooksConnect;application-site
BookSwim;application-site
BoomBang;application-site
Boomi;application-site
Boot Service Discovery Protocol(BSDP);application-site
bootp;service-udp
Bootytape.com;application-site
Bopup Messenger;application-site
Borgger;application-site
Bosnia and Herzegovina IBAN;CpmiPatternDataType
Bosnia Classification Terms;CpmiWordsDataType
Bossa Nova;application-site
Bosspy - 1mole;application-site
BotALot;application-site
Botnets;application-site-category
BottomFeeder;application-site
Box;application-site
Box-download;application-site
Box-editing;application-site
Box-upload;application-site
Box-web file sharing;application-site
Boxedup;application-site
Boxee;application-site
Boxstr;application-site
Brain Tune;application-site
BRAVIS Galaxee;application-site
Brazil Classification Terms;CpmiWordsDataType
Brazil Driver License Number - CNH - New Format;CpmiPatternDataType
Brazil Electoral Registration Number;CpmiPatternDataType
Brazil Identity Card - IFP RJ;CpmiPatternDataType
Brazil Identity Card - SSP SP;CpmiPatternDataType
Brazil IMEI;CpmiPatternDataType
Brazil Municipalities;CpmiDictionaryDataType
Brazil National Register of Legal Entities - CNPJ;CpmiPatternDataType
Brazil Personal Names;CpmiDictionaryDataType
Brazil Personal Registration Number - CPF;CpmiPatternDataType
Brazil Phone Numbers;CpmiPatternDataType
Brazil State Abbreviations;CpmiDictionaryDataType
Brazil State Names;CpmiDictionaryDataType
Brazil State Registration Number - IE;CpmiPatternDataType
Brazil Surnames;CpmiDictionaryDataType
Brazil Zip Code - CEP;CpmiPatternDataType
Break.com;application-site
break.com-streaming;application-site
Break.com-upload;application-site
Bredbandskollen;application-site
BreezoMeter;application-site
Breezy HR;application-site
Bria;application-site
BrightCloud;application-site
BrightCove;application-site
Brightkite;application-site
Brightpearl;application-site
Brighttalk;application-site
Brik IM;application-site
brimmnetwork;application-site
Bringit;application-site
bringsome.com;application-site
bristolcoders;application-site
broadbandspeedchecker;application-site
Browntracker.net;application-site
Browsec;application-site
Browser Plugin;application-site-category
Browser Toolbar;application-site-category
BrowserTools;application-site
BruinBot;application-site
BS.Player;application-site
BSAP (Bristol Standard Asynchronous/Synchronous Protocol);application-site
BSD rusers command;application-site
Bt-chat.com;application-site
Bt-geras.com;application-site
Bt.wrzru.com;application-site
Btbot;application-site
BTPD;application-site
bubbl.us;application-site
Bubble Comment;application-site
bubbleshare;application-site
BubbleTweet;application-site
Bubbly;application-site
Buddy2Buddy;application-site
BuddyBackup;application-site
BuddyNger;application-site
BuddySpace;application-site
Bugzilla;application-site
BuildABearville.com;application-site
Buildkite;application-site
Bukisa;application-site
Bulbstorm;application-site
Bulgaria Classification Terms;CpmiWordsDataType
Bulgaria IBAN;CpmiPatternDataType
Bulgaria Uniform Civil Number - EGN;CpmiPatternDataType
bulletshare;application-site
BullGuard Backup;application-site
Bump;application-site
Burst!;application-site
BurstFindCrawler;application-site
Business / Economy;application-site-category
Business Information Headers;CpmiDictionaryDataType
Business Plan;CpmiCompoundDataType
Business Plan Terms;CpmiDictionaryDataType
Business Plan Topics;CpmiDictionaryDataType
Busiversebot;application-site
BuzzIM;application-site
BuzzLogic;application-site
Buzznet;application-site
BuzzSoRadBot;application-site
byapp task list;application-site
BypassProxyNow;application-site
BypassThat;application-site
Bzzster!;application-site
C6 Messenger;application-site
CA PPM;application-site
CabinHut;application-site
Cabos;application-site
cacaoweb;application-site
cachefsd;service-rpc
Cackleberries.com;application-site
CAD-CAM Designs;CpmiFileDataType
CafeMom;application-site
Caihong;application-site
Caihong-audio-video;application-site
Cake Financial;application-site
cakeHR;application-site
Calameo;application-site
Calameo-upload;application-site
Calitko;application-site
call centre;application-site
Call Graph;application-site
Call of Duty;application-site
Cambodia Classification Terms;CpmiWordsDataType
CamColada;application-site
CameraWare;application-site
Camfrog Video Chat;application-site
CamontSpider;application-site
Camouflage Proxy;application-site
Campaigner;application-site
CampFireNow;application-site
Campusbug;application-site
Canada Cities;CpmiDictionaryDataType
Canada Classification Terms;CpmiWordsDataType
Canada French Personal Information Headers;CpmiDictionaryDataType
Canada Personal Information Headers;CpmiGroupDataType
